"Address Line 1",City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"209 HIGHLAND AVENUE",WATERBURY,CT,6708,41.55169,-73.057361,1,rooftop,209,"Highland Ave",,,Waterbury,CT,"New Haven County",06708,US,"City of Waterbury"
"240 INDIAN RIVER RD, SUITE D",ORANGE,CT,6477,41.264025,-73.000865,1,rooftop,240,"Indian River Rd",Ste,,Orange,CT,"New Haven County",06477,US,"Connecticut Geospatial Information Systems Council"
"270 FARMINGTON AVE",FARMINGTON,CT,6032,41.735992,-72.796939,1,rooftop,270,"Farmington Ave",,,Farmington,CT,"Hartford County",06032,US,"Connecticut Geospatial Information Systems Council"
"100 MAIN STREET, SUITE A",MIDDLETOWN,CT,6457,41.558122,-72.647368,1,rooftop,100,"Main St",Ste,A,Middletown,CT,"Middlesex County",06457,US,"Connecticut Geospatial Information Systems Council"
"136 SHERMAN AVENUE","NEW HAVEN",CT,6511,41.310676,-72.945323,1,rooftop,136,"Sherman Ave",,,"New Haven",CT,"New Haven County",06511,US,"City of New Haven"
"80 SEYMOUR STREET",HARTFORD,CT,6115,41.754287,-72.679887,0.9,rooftop,80,"Seymour St",,,Hartford,CT,"Hartford County",06106,US,"Ciy of Hartford"
"377 RESEARCH PARKWAY",MERIDEN,CT,6450,41.51597,-72.766686,1,rooftop,377,"Research Pkwy",,,Meriden,CT,"New Haven County",06450,US,"Connecticut Geospatial Information Systems Council"
"111 OSBORNE STREET",DANBURY,CT,6810,41.404535,-73.44189,1,rooftop,111,"Osborne St",,,Danbury,CT,"Fairfield County",06810,US,"Connecticut Geospatial Information Systems Council"
"113 SALEM TURNPIKE",NORWICH,CT,6360,41.51186,-72.112096,1,range_interpolation,113,"Salem Tpke",,,Norwich,CT,"New London County",06360,US,"TIGER/Line® dataset from the US Census Bureau"
"51 PALOMBA DRIVE",ENFIELD,CT,6082,41.991501,-72.570136,1,rooftop,51,"Palomba Dr",,,Enfield,CT,"Hartford County",06082,US,"Connecticut Geospatial Information Systems Council"
"30 COMMERCE ROAD",STAMFORD,CT,6902,41.046187,-73.561489,1,rooftop,30,"Commerce Rd",,,Stamford,CT,"Fairfield County",06902,US,"City of Stamford"
"675 TOWER AVENUE",HARTFORD,CT,6112,41.800562,-72.693492,1,rooftop,675,"Tower Ave",,,Hartford,CT,"Hartford County",06112,US,"Ciy of Hartford"
"510 WASHINGTON AVENUE","NORTH HAVEN",CT,6473,41.415664,-72.84036,1,rooftop,510,"Washington Ave",,,"North Haven",CT,"New Haven County",06473,US,"Connecticut Geospatial Information Systems Council"
"ONE HERALD SQUARE","NEW BRITAIN",CT,6051,41.668449,-72.770441,1,place,,,,,"New Britain",CT,"Hartford County",06051,US,"TIGER/Line® dataset from the US Census Bureau"
"500 KINGS HWY",FAIRFIELD,CT,6825,41.171361,-73.230203,1,rooftop,500,"Kings Hwy",,,Fairfield,CT,"Fairfield County",06825,US,"Town of Fairfield"
"100 GRAND STREET","NEW BRITAIN",CT,6050,41.661048,-72.786804,0.9,rooftop,100,"Grand St",,,"New Britain",CT,"Hartford County",06052,US,"City of New Britain"
"445E WILLARD AVENUE",NEWINGTON,CT,6111,41.705883,-72.735853,1,range_interpolation,445,"Willard Ave",,,Newington,CT,"Hartford County",06111,US,"TIGER/Line® dataset from the US Census Bureau"
"725 PARK AVENUE,",BLOOMFIELD,CT,6002,41.827131,-72.730467,1,range_interpolation,725,"Park Ave",,,Bloomfield,CT,"Hartford County",06002,US,"TIGER/Line® dataset from the US Census Bureau"
"375 WILLARD AVENUE",NEWINGTON,CT,6111,41.709883,-72.73652,1,range_interpolation,375,"Willard Ave",,,Newington,CT,"Hartford County",06111,US,"TIGER/Line® dataset from the US Census Bureau"
"135 MIDDLE STREET",BRISTOL,CT,6010,41.664448,-72.920936,0.9,range_interpolation,135,"Middle St",,,Bristol,CT,"Hartford County",06010,US,"TIGER/Line® dataset from the US Census Bureau"
"29 GRIFFIN ROAD SOUTH",BLOOMFIELD,CT,6002,41.872305,-72.735436,1,rooftop,29,"Griffin Rd S",,,Bloomfield,CT,"Hartford County",06002,US,"Connecticut Geospatial Information Systems Council"
"375-C TUCKIE ROAD","NORTH WINDHAM",CT,6256,41.732468,-72.182142,0.9,range_interpolation,375,"Tuckie Rd",,,"North Windham",CT,"Windham County",06256,US,"TIGER/Line® dataset from the US Census Bureau"
"750 BRIDGEPORT AVENUE",SHELTON,CT,6484,41.273346,-73.125754,1,range_interpolation,750,"Bridgeport Ave",,,Shelton,CT,"Fairfield County",06484,US,"TIGER/Line® dataset from the US Census Bureau"
"1 EMERSON DRIVE",WINDSOR,CT,6095,41.837995,-72.666778,1,range_interpolation,1,"Emerson Dr",,,Windsor,CT,"Hartford County",06095,US,"TIGER/Line® dataset from the US Census Bureau"
"31 STEVENS STREET",NORWALK,CT,6856,41.109649,-73.421427,0.9,rooftop,31,"Stevens St",,,Norwalk,CT,"Fairfield County",06850,US,"City of Norwalk"
"427 STILLSON RD",FAIRFIELD,CT,6824,41.180489,-73.251422,1,rooftop,427,"Stillson Rd",,,Fairfield,CT,"Fairfield County",06824,US,"Town of Fairfield"
"54 WEST AVON RD",AVON,CT,6001,41.813363,-72.865688,1,rooftop,54,"W Avon Rd",,,Avon,CT,"Hartford County",06001,US,"City of Avon"
"5 SHAW'S COVE","NEW LONDON",CT,6320,41.346826,-72.10162,1,range_interpolation,5,"Shaws Cv",,,"New London",CT,"New London County",06320,US,"TIGER/Line® dataset from the US Census Bureau"
"322 EAST MAIN STREET",BRANFORD,CT,6405,41.292634,-72.788331,1,range_interpolation,322,"E Main St",,,Branford,CT,"New Haven County",06405,US,"TIGER/Line® dataset from the US Census Bureau"
"2425 25TH STREET SE",WASHINGTON,DC,20020,38.858654,-76.971342,1,rooftop,2425,"25th St SE",,,Washington,DC,"District of Columbia",20020,US,"City of Washington"
"2041 GEORGIA AVE NW",WASHINGTON,DC,20060,38.91781,-77.020923,1,rooftop,2041,"Georgia Ave NW",,,Washington,DC,"District of Columbia",20060,US,"City of Washington"
"3929 MINNESOTA AVE NE",WASHINGTON,DC,20019,38.894235,-76.949411,1,rooftop,3929,"Minnesota Ave NE",,,Washington,DC,"District of Columbia",20019,US,"City of Washington"
"2233 WISCONSIN AVE",WASHINGTON,DC,20007,38.91995,-77.070742,0.9,rooftop,2233,"Wisconsin Ave NW",,,Washington,DC,"District of Columbia",20007,US,"City of Washington"
"1231 BRENTWOOD RD NE",WASHINGTON,DC,20018,38.921996,-76.988441,1,range_interpolation,1231,"Brentwood Rd NE",,,Washington,DC,"District of Columbia",20018,US,"TIGER/Line® dataset from the US Census Bureau"
"1730 HAMLIN ST NE",WASHINGTON,DC,20018,38.928401,-76.979571,1,rooftop,1730,"Hamlin St NE",,,Washington,DC,"District of Columbia",20018,US,"City of Washington"
"CHILDRENS HOSP DIALYSIS UNIT RM 3130",WASHINGTON,DC,20010,38.932711,-77.030248,1,place,,,,,Washington,DC,"District of Columbia",20010,US,"TIGER/Line® dataset from the US Census Bureau"
"817 VARNUM ST NE",WASHINGTON,DC,20017,38.942266,-76.99477,1,rooftop,817,"Varnum St NE",,,Washington,DC,"District of Columbia",20017,US,"City of Washington"
"700 SECOND ST NE",WASHINGTON,DC,20002,38.89949,-77.003941,1,rooftop,700,"2nd St NE",,,Washington,DC,"District of Columbia",20002,US,"City of Washington"
"810 1ST ST NE",WASHINGTON,DC,20002,38.900613,-77.007028,1,rooftop,810,"1st St NE",,,Washington,DC,"District of Columbia",20002,US,"City of Washington"
"2131 K STREET NW",WASHINGTON,DC,20037,38.9029,-77.047668,1,rooftop,2131,"K St NW",,,Washington,DC,"District of Columbia",20037,US,"City of Washington"
"920 BLADENSBURG ROAD NE",WASHINGTON,DC,20002,38.902598,-76.982183,1,rooftop,920,"Bladensburg Rd NE",,,Washington,DC,"District of Columbia",20002,US,"City of Washington"
"11 DUPONT CIR NW",WASHINGTON,DC,20036,38.910108,-77.042583,1,rooftop,11,"Dupont Cir NW",,,Washington,DC,"District of Columbia",20036,US,"City of Washington"
"2601 18TH STREET NE, A WING BASEMENT",WASHINGTON,DC,20018,38.923447,-76.978148,1,rooftop,2601,"18th St NE",Bsmt,,Washington,DC,"District of Columbia",20018,US,"City of Washington"
"6411 CHILLUM PL NW",WASHINGTON,DC,20012,38.967894,-77.011987,1,rooftop,6411,"Chillum Pl NW",,,Washington,DC,"District of Columbia",20012,US,"City of Washington"
"140 Q STREET NE",WASHINGTON,DC,20002,38.911378,-77.005053,1,rooftop,140,"Q St NE",,,Washington,DC,"District of Columbia",20002,US,"City of Washington"
"RENAL DIALYSIS UNIT",WASHINGTON,DC,20020,38.85761,-76.971547,1,place,,,,,Washington,DC,"District of Columbia",20020,US,"TIGER/Line® dataset from the US Census Bureau"
"106 IRVING ST NW",WASHINGTON,DC,20010,38.929375,-77.014396,1,rooftop,106,"Irving St NW",,,Washington,DC,"District of Columbia",20010,US,"City of Washington"
"1918 14TH ST SE",WASHINGTON,DC,20020,38.866432,-76.984741,1,rooftop,1918,"14th St SE",,,Washington,DC,"District of Columbia",20020,US,"City of Washington"
"5155 LEE ST NE",WASHINGTON,DC,20019,38.90443,-76.924893,1,rooftop,5155,"Lee St NE",,,Washington,DC,"District of Columbia",20019,US,"City of Washington"
"4601 MARTI LUTHER KING JR. AVENUE SOUTHWEST",WASHINGTON,DC,20032,38.8368,-76.997697,0.33,place,,,,,Washington,DC,"District of Columbia",20032,US,"TIGER/Line® dataset from the US Census Bureau"
"5000 NANNIE HELEN BURROUGHS AVE NE",WASHINGTON,DC,20019,38.899263,-76.928273,1,rooftop,5000,"Nannie Helen Burroughs Ave NE",,,Washington,DC,"District of Columbia",20019,US,"City of Washington"
"2791 SW 137TH AVE",MIAMI,FL,33175,25.74196,-80.41604,1,rooftop,2791,"SW 137th Ave",,,Miami,FL,"Miami-Dade County",33175,US,Statewide2
"929 UNIVERSITY BLVD N",JACKSONVILLE,FL,32211,30.32902,-81.603847,1,rooftop,929,"University Blvd N",,,Jacksonville,FL,"Duval County",32211,US,Statewide2
"457 CARLTON ST",WAUCHULA,FL,33873,27.536466,-81.814786,1,rooftop,457,"Carlton St",,,Wauchula,FL,"Hardee County",33873,US,Statewide2
"2900 N MILITARY TRAIL SUITE 195","BOCA RATON",FL,33431,26.378801,-80.119779,1,rooftop,2900,"N Military Trl",Ste,195,"Boca Raton",FL,"Palm Beach County",33431,US,"Palm Beach County"
"783 CORTARO DR",RUSKIN,FL,33573,27.714599,-82.370304,1,rooftop,783,"Cortaro Dr",,,"Sun City Center",FL,"Hillsborough County",33573,US,"Hillsborough County"
"2150 45TH STREET","VERO BEACH",FL,32967,27.675383,-80.406074,1,rooftop,2150,"45th St",,,"Vero Beach",FL,"Indian River County",32967,US,"Indian River"
"1701 W 1ST ST",SANFORD,FL,32771,28.811122,-81.286283,1,rooftop,1701,"W 1st St",,,Sanford,FL,"Seminole County",32771,US,Statewide2
"1154 CELEBRATION BLVD",CELEBRATION,FL,34747,28.320952,-81.553784,1,rooftop,1154,"Celebration Blvd",,,Kissimmee,FL,"Osceola County",34747,US,Osceola
"10543 SUWANNEE PLAZA BLVD","LIVE OAK",FL,32060,30.285284,-82.987008,0.8,nearest_rooftop_match,10551,"Suwannee Plaza Blvd",,,"Live Oak",FL,"Suwannee County",32060,US,"MapWise (and individual Florida counties)"
"18942 S DIXIE HWY",MIAMI,FL,33157,25.590562,-80.359546,1,rooftop,18942,"S Dixie Hwy",,,"Cutler Bay",FL,"Miami-Dade County",33157,US,"Miami-Dade County"
"245 S COURTENAY PKWY BLDG A","MERRITT ISLAND",FL,32952,28.360313,-80.70057,0.9,rooftop,245,"N Courtenay Pkwy",Bldg,A,"Merritt Island",FL,"Brevard County",32953,US,"Brevard County"
"1950 LAUREL MANOR DRIVE #190","THE VILLAGES",FL,32162,28.924589,-82.002749,1,rooftop,1950,"Laurel Manor Dr",Ste,190,"The Villages",FL,"Sumter County",32162,US,Sumter
"578 HEALTH BLVD","DAYTONA BEACH",FL,32114,29.207027,-81.061103,1,rooftop,578,"Health Blvd",,,"Daytona Beach",FL,"Volusia County",32114,US,"Volusia County"
"320 W REDSTONE AVE",CRESTVIEW,FL,32536,30.736903,-86.565422,0.9,range_interpolation,320,"E Redstone Ave",,,Crestview,FL,"Okaloosa County",32536,US,"TIGER/Line® dataset from the US Census Bureau"
"16201 SUITE 102 PANAMA CITY BEACH PKWY","PANAMA CITY",FL,32413,30.3103,-85.905314,0.33,place,,,,,"Panama City Beach",FL,"Bay County",32413,US,"TIGER/Line® dataset from the US Census Bureau"
"3280 PONCE DE LEON BLVD",MIAMI,FL,33134,25.741404,-80.258661,1,rooftop,3280,"Ponce De Leon Blvd",,,"Coral Gables",FL,"Miami-Dade County",33134,US,"Miami-Dade County"
"1121 OVERCASH DRIVE",DUNEDIN,FL,34698,28.020552,-82.755599,1,rooftop,1121,"Overcash Dr",,,Dunedin,FL,"Pinellas County",34698,US,"Pinellas County"
"11011 SHERIDAN ST","COOPER CITY",FL,33026,26.030929,-80.293903,1,rooftop,11011,"Sheridan St",,,Hollywood,FL,"Broward County",33026,US,Broward
"600 SW 3RD ST #1100","POMPANO BEACH",FL,33060,26.225156,-80.135141,1,rooftop,600,"SW 3rd St",Ste,1100,"Pompano Beach",FL,"Broward County",33060,US,"City of Fort Lauderdale"
"14522 LANDSTAR BLVD",ORLANDO,FL,32824,28.352928,-81.361422,1,rooftop,14522,"Landstar Blvd",,,Orlando,FL,"Orange County",32824,US,Loveland
"29296 US HWY 19 N #1",CLEARWATER,FL,33761,28.038554,-82.738957,1,rooftop,29296,"US Highway 19 N",Ste,1,Clearwater,FL,"Pinellas County",33761,US,"Pinellas County"
"3451 W. WOOLBRIGHT RD","BOYNTON BEACH",FL,33436,26.513563,-80.099279,1,range_interpolation,3451,"W Woolbright Rd",,,"Boynton Beach",FL,"Palm Beach County",33436,US,"TIGER/Line® dataset from the US Census Bureau"
"7769 JOHNSON ST","PEMBROKE PINES",FL,33024,26.016584,-80.243385,1,rooftop,7769,"Johnson St",,,"Pembroke Pines",FL,"Broward County",33024,US,Statewide2
"11570 W STATE ROAD 84",DAVIE,FL,33325,26.111572,-80.303254,1,rooftop,11570,"W State Road 84",,,Davie,FL,"Broward County",33325,US,Statewide2
"7150 W 20TH AVE STE 109",HIALEAH,FL,33016,25.886766,-80.325384,1,rooftop,7150,"W 20th Ave",Ste,109,Hialeah,FL,"Miami-Dade County",33016,US,Statewide2
"4750 OLD CANOE CREEK RD","SAINT CLOUD",FL,34769,28.256558,-81.315366,1,rooftop,4750,"Old Canoe Creek Rd",,,"Saint Cloud",FL,"Osceola County",34769,US,Osceola
"2525 E. HILLSBOROUGH AVE",TAMPA,FL,33610,27.994813,-82.431214,1,rooftop,2525,"E Hillsborough Ave",,,Tampa,FL,"Hillsborough County",33610,US,Loveland
"3925 W BOYNTON BEACH BLVD #110","BOYNTON BEACH",FL,33436,26.527036,-80.10612,0.9,range_interpolation,3925,"W Boynton Beach Blvd",#,110,"Boynton Beach",FL,"Palm Beach County",33436,US,"TIGER/Line® dataset from the US Census Bureau"
"4100 METRIC DRIVE #200","WINTER PARK",FL,32792,28.598513,-81.292323,1,rooftop,4100,"Metric Dr",Ste,200,"Winter Park",FL,"Orange County",32792,US,Loveland
"1002 CYPRESS PARKWAY",POINCIANA,FL,34759,28.145994,-81.446386,1,rooftop,1002,"Cypress Pkwy",,,Kissimmee,FL,"Osceola County",34759,US,Osceola
"1701 MILITARY TRAIL #140",JUPITER,FL,33458,26.917664,-80.101033,1,rooftop,1701,"Military Trl",Ste,140,Jupiter,FL,"Palm Beach County",33458,US,"Palm Beach County"
"5600 W COLONIAL DR STE 101",ORLANDO,FL,32808,28.551822,-81.456773,1,rooftop,5600,"W Colonial Dr",Ste,101,Orlando,FL,"Orange County",32808,US,Loveland
"1701 E 9TH AVENUE","YBOR CITY",FL,33605,27.961461,-82.440206,1,rooftop,1701,"E 9th Ave",,,Tampa,FL,"Hillsborough County",33605,US,Loveland
"203 ERNESTINE STREET",ORLANDO,FL,32801,28.532957,-81.38085,1,rooftop,203,"Ernestine St",,,Orlando,FL,"Orange County",32801,US,Loveland
"14050 TOWNLOOP BLVD #104A",ORLANDO,FL,32837,28.390234,-81.433155,0.33,place,,,,,Orlando,FL,"Orange County",32837,US,"TIGER/Line® dataset from the US Census Bureau"
"4100 METRIC DRIVE STE 300","WINTER PARK",FL,32792,28.598513,-81.292323,1,rooftop,4100,"Metric Dr",Ste,300,"Winter Park",FL,"Orange County",32792,US,Loveland
"10614 LEM TURNER RD",JACKSONVILLE,FL,32218,30.428557,-81.694722,1,rooftop,10614,"Lem Turner Rd",,,Jacksonville,FL,"Duval County",32218,US,Duval
"1522 N DIXIE HWY","WEST PALM BEACH",FL,33401,26.727079,-80.052839,1,rooftop,1522,"N Dixie Hwy",,,"West Palm Beach",FL,"Palm Beach County",33401,US,"Palm Beach County"
"933 SE 1ST ST","BELLE GLADE",FL,33430,26.673772,-80.669049,1,rooftop,933,"SE 1st St",,,"Belle Glade",FL,"Palm Beach County",33430,US,"Palm Beach County"
"129 REDSTONE AVE",CRESTVIEW,FL,32539,30.736372,-86.563926,0.9,rooftop,129,"Redstone Ave E",,,Crestview,FL,"Okaloosa County",32539,US,Okaloosa
"14942 TAMIAMI TRAIL SUITE G","NORTH PORT",FL,34287,27.038503,-82.221077,1,rooftop,14942,"Tamiami Trl",Ste,G,"North Port",FL,"Sarasota County",34287,US,Statewide2
"19056 NE 29TH AVE",AVENTURA,FL,33180,25.951885,-80.144591,1,rooftop,19056,"NE 29th Ave",,,Miami,FL,"Miami-Dade County",33180,US,"Miami-Dade County"
"901 45TH ST","WEST PALM BEACH",FL,33407,26.755822,-80.062441,1,rooftop,901,"45th St",,,"Mangonia Park",FL,"Palm Beach County",33407,US,"Palm Beach County"
"1775 NW 80TH BLVD",GAINESVILLE,FL,32606,29.669576,-82.428918,1,rooftop,1775,"NW 80th Blvd",,,Gainesville,FL,"Alachua County",32606,US,"City of Gainesville"
"520 MANATEE AVE EAST",BRADENTON,FL,34208,27.495218,-82.558468,1,rooftop,520,"Manatee Ave E",,,Bradenton,FL,"Manatee County",34208,US,Statewide2
"1519 MAIN STREET",DUNEDIN,FL,34698,28.018912,-82.762081,1,rooftop,1519,"Main St",,,Dunedin,FL,"Pinellas County",34698,US,"Pinellas County"
"312 MOWHAWK RD",CLERMONT,FL,34715,28.56751,-81.73166,1,rooftop,312,"Mohawk Rd",,,Minneola,FL,"Lake County",34715,US,Statewide2
"757 UNION STREET W",JACKSONVILLE,FL,32202,30.334748,-81.665415,1,rooftop,757,"Union St W",,,Jacksonville,FL,"Duval County",32202,US,Duval
"13 KINGSWOOD DR SUITE A","PALM COAST",FL,32137,29.551906,-81.21361,1,rooftop,13,"Kingswood Dr",Ste,A,"Palm Coast",FL,"Flagler County",32137,US,Loveland
"1355 PALM BAY RD","PALM BAY",FL,32905,28.0357,-80.632399,1,rooftop,1355,"Palm Bay Rd",,,"Palm Bay",FL,"Brevard County",32905,US,Statewide2
"40 MEDICAL CENTER AVE",SEBRING,FL,33870,27.467128,-81.431374,1,rooftop,40,"Medical Center Ave",,,Sebring,FL,"Highlands County",33870,US,"Highlands County, FL"
"878 STRONG RD",QUINCY,FL,32351,30.566855,-84.555939,1,rooftop,878,"Strong Rd",,,Quincy,FL,"Gadsden County",32351,US,Statewide2
"2410 S ADAMS ST",TALLAHASSEE,FL,32301,30.417344,-84.28184,1,rooftop,2410,"S Adams St",,,Tallahassee,FL,"Leon County",32301,US,Leon
"8364 MILLS DRIVE #1740",MIAMI,FL,33183,25.689419,-80.387985,1,rooftop,8364,"Mills Dr",#,1740,Miami,FL,"Miami-Dade County",33183,US,"Miami-Dade County"
"6125 SW 31ST ST",MIAMI,FL,33155,25.741976,-80.292317,1,rooftop,6125,"SW 31st St",,,Miami,FL,"Miami-Dade County",33155,US,Statewide2
"901 E 10TH AVE BAY 17",HIALEAH,FL,33010,25.832468,-80.260339,1,rooftop,901,"E 10th Ave",,,Hialeah,FL,"Miami-Dade County",33010,US,"Miami-Dade County"
"1341 E OAK ST",ARCADIA,FL,34266,27.211142,-81.843772,1,rooftop,1341,"E Oak St",,,Arcadia,FL,"DeSoto County",34266,US,Desoto
"1120 INDIAN HILLS BLVD",VENICE,FL,34293,27.071848,-82.38759,1,rooftop,1120,"Indian Hills Blvd",,,Venice,FL,"Sarasota County",34293,US,"Sarasota County"
"5503 SOUTH CONGRESS AVE",ATLANTIS,FL,33462,26.596005,-80.092753,1,rooftop,5503,"S Congress Ave",,,"Lake Worth",FL,"Palm Beach County",33462,US,"Palm Beach County"
"1400 S APOLLO BLVD",MELBOURNE,FL,32901,28.086756,-80.618268,1,rooftop,1400,"Apollo Blvd S",,,Melbourne,FL,"Brevard County",32901,US,Loveland
"10770 N 46TH STREET #A100",TAMPA,FL,33617,28.047464,-82.411104,1,rooftop,10770,"N 46th St",Ste,A100,Tampa,FL,"Hillsborough County",33617,US,"Hillsborough County"
"17801 NW 2ND AVE",MIAMI,FL,33169,25.939202,-80.203975,1,rooftop,17801,"NW 2nd Ave",,,Miami,FL,"Miami-Dade County",33169,US,"Miami-Dade County"
"5130 LINTON BLVD SUITE G4","DELRAY BEACH",FL,33484,26.439246,-80.123923,1,rooftop,5130,"Linton Blvd",Ste,G4,"Delray Beach",FL,"Palm Beach County",33484,US,Statewide2
"1 OAKWOOD BLVD #100",HOLLYWOOD,FL,33020,26.03773,-80.161274,1,rooftop,1,"Oakwood Blvd",Ste,100,Hollywood,FL,"Broward County",33020,US,Broward
"1190 NW 95TH ST STE 208",MIAMI,FL,33150,25.860235,-80.214747,1,rooftop,1190,"NW 95th St",Ste,208,Miami,FL,"Miami-Dade County",33150,US,"Miami-Dade County"
"4970 SW 52ND ST #304",DAVIE,FL,33314,26.056847,-80.210545,1,rooftop,4970,"SW 52nd St",Ste,304,Davie,FL,"Broward County",33314,US,Loveland
"911 E OAKLAND PARK BLVD","OAKLAND PARK",FL,33334,26.16705,-80.135266,1,rooftop,911,"E Oakland Park Blvd",,,"Oakland Park",FL,"Broward County",33334,US,Broward
"2514 N STATE ROAD 7",MARGATE,FL,33063,26.25905,-80.20143,1,rooftop,2514,"N State Road 7",,,Margate,FL,"Broward County",33063,US,Statewide2
"1871 N PINE ISLAND RD",PLANTATION,FL,33322,26.147525,-80.268276,1,rooftop,1871,"N Pine Island Rd",,,Plantation,FL,"Broward County",33322,US,Statewide2
"12674 TELECOM DRIVE",TAMPA,FL,33637,28.062084,-82.380533,1,rooftop,12674,"Telecom Dr",,,"Temple Terrace",FL,"Hillsborough County",33637,US,"Hillsborough County"
"635 4TH ST NO","SAINT PETERSBURG",FL,33701,27.779087,-82.63817,0.9,rooftop,635,"4th St N",,,"Saint Petersburg",FL,"Pinellas County",33701,US,"Pinellas County"
"1065 W ORANGE BLOSSOM TRL",APOPKA,FL,32712,28.685875,-81.531656,1,rooftop,1065,"W Orange Blossom Trl",,,Apopka,FL,"Orange County",32712,US,"Orange County"
"5258-10 NORWOOD AVENUE",JACKSONVILLE,FL,32208,30.373103,-81.665631,1,rooftop,5258,"Norwood Ave",,,Jacksonville,FL,"Duval County",32208,US,Duval
"6925 LAKE ELLENOR DR STE 650",ORLANDO,FL,32809,28.465443,-81.400428,1,rooftop,6925,"Lake Ellenor Dr",Ste,650,Orlando,FL,"Orange County",32809,US,Loveland
"4700 CONGRESS AVE STE 106","WEST PALM BEACH",FL,33407,26.763039,-80.084892,0.9,rooftop,4700,"N Congress Ave",Ste,106,"West Palm Beach",FL,"Palm Beach County",33407,US,"Palm Beach County"
"43 SHOEMAKER DR","DEFUNIAK SPRINGS",FL,32433,30.732114,-86.140113,1,rooftop,43,"Shoemaker Dr",,,"Defuniak Springs",FL,"Walton County",32433,US,Walton
"1600 SW ARCHER ROAD",GAINESVILLE,FL,32610,29.639896,-82.343409,1,rooftop,1600,"SW Archer Rd",,,Gainesville,FL,"Alachua County",32610,US,Alachua
"9193 SW 72ND ST # 100-B",MIAMI,FL,33173,25.70261,-80.341392,1,rooftop,9193,"SW 72nd St",Ste,100,Miami,FL,"Miami-Dade County",33173,US,"Miami-Dade County"
"92 W MILLER STREET",ORLANDO,FL,32806,28.52388,-81.379733,1,rooftop,92,"W Miller St",,,Orlando,FL,"Orange County",32806,US,Statewide2
"1407 SOUTHEAST GOLDTREE DRIVE STE A","PORT SAINT LUCIE",FL,34952,27.285013,-80.294367,1,rooftop,1407,"SE Goldtree Dr",Ste,A,"Port Saint Lucie",FL,"St. Lucie County",34952,US,"St Lucie"
"2940 N. BLUE ANGEL PARKWAY",PENSACOLA,FL,32506,30.431366,-87.323682,1,rooftop,2940,"N Blue Angel Pkwy",,,Pensacola,FL,"Escambia County",32506,US,Statewide2
"6001 INDUSTRIAL BLVD",CENTURY,FL,32535,30.97049,-87.275224,1,rooftop,6001,"Industrial Blvd",,,Century,FL,"Escambia County",32535,US,Loveland
"816 PINEBROOK RD",VENICE,FL,34285,27.100502,-82.418673,1,rooftop,816,"Pinebrook Rd",,,Venice,FL,"Sarasota County",34285,US,"Sarasota County"
"12505 STARKEY RD SUITE B",LARGO,FL,33773,27.88611,-82.761665,1,rooftop,12505,"Starkey Rd",Ste,B,Largo,FL,"Pinellas County",33773,US,"City of Pinellas Park"
"401 E NORTH AVE",LEESBURG,FL,34748,28.758895,-81.888695,0.33,place,,,,,Leesburg,FL,"Lake County",34748,US,"TIGER/Line® dataset from the US Census Bureau"
"1625 UNITY WAY NW","WINTER HAVEN",FL,33881,28.038184,-81.73181,1,rooftop,1625,"Unity Way NW",,,"Winter Haven",FL,"Polk County",33881,US,Polk
"27401 CASHFORD CIRCLE #102","WESLEY CHAPEL",FL,33544,28.189876,-82.35944,1,rooftop,27401,"Cashford Cir",#,102,"Wesley Chapel",FL,"Pasco County",33544,US,Pasco
"12703 TAMIAMI TRAIL EAST # 121",NAPLES,FL,34113,26.067584,-81.700327,1,rooftop,12703,"Tamiami Trl E",#,121,Naples,FL,"Collier County",34113,US,"Collier County"
"2459 S CONGRESS AVE #100","WEST PALM BEACH",FL,33406,26.640289,-80.088958,1,rooftop,2459,"S Congress Ave",Ste,100,"Palm Springs",FL,"Palm Beach County",33406,US,"Palm Beach County"
"2930 OPTIMIST DR",MARIANNA,FL,32448,30.779133,-85.252679,1,rooftop,2930,"Optimist Dr",,,Marianna,FL,"Jackson County",32448,US,Loveland
"7061 CYPRESS RD STE 103",PLANTATION,FL,33317,26.124629,-80.242909,1,rooftop,7061,"Cypress Rd",Ste,103,Plantation,FL,"Broward County",33317,US,Broward
"1117 ARLINGTON AVE N","SAINT PETERSBURG",FL,33705,27.772738,-82.650483,1,rooftop,1117,"Arlington Ave N",,,"Saint Petersburg",FL,"Pinellas County",33705,US,"Pinellas County"
"617 LAKEVIEW RD SUITE C",CLEARWATER,FL,33756,27.947588,-82.797867,1,rooftop,617,"Lakeview Rd",Ste,C,Clearwater,FL,"Pinellas County",33756,US,"Pinellas County"
"1222 WINTER GARDEN VINELAND ROAD","WINTER GARDEN",FL,34787,28.548261,-81.589191,1,rooftop,1222,"Winter Garden Vineland Rd",,,"Winter Garden",FL,"Orange County",34787,US,Statewide2
"601 E ROLLINS ST",ORLANDO,FL,32803,28.575788,-81.370064,1,rooftop,601,"E Rollins St",,,Orlando,FL,"Orange County",32803,US,Loveland
"2561 CORAL WAY",MIAMI,FL,33145,25.755379,-80.207591,0.15,nearest_rooftop_match,2525,"SW Coral Ave",,,Miami,FL,"Miami-Dade County",33129,US,"Miami-Dade County"
